nid,vram,func,words,call_sites,argc,stack_args,returns,leaf,sdk_calls,reaches,sdk_reexport
0x93517477,0x05EB64,func_0005EB64,4,29,1,0,0,0,,,
0xD3890ECB,0x014CA8,func_00014CA8,13,28,3,0,1,1,,,
0x1856E536,0x02296C,func_0002296C,122,28,2,0,1,0,,Kernel_Library;SysMemUserForUser,
0xB401BB25,0x053150,func_00053150,12,28,1,0,1,0,,,
0xCFC58802,0x014B90,func_00014B90,8,27,2,0,1,1,,,
0xA3B7A6E9,0x0219BC,func_000219BC,20,27,0,0,0,1,,,
0x97DD82F2,0x0257E4,func_000257E4,63,27,6,0,1,0,,,
0x93EACD81,0x02C4D8,func_0002C4D8,12,27,0,0,1,0,,,
0xAA9913C7,0x03C3C8,func_0003C3C8,2,27,1,0,0,0,,,
0x68D242C5,0x05EFB0,func_0005EFB0,17,27,1,0,1,0,,,
0x89EE81BB,0x015990,func_00015990,19,26,3,0,1,1,,,
0x91EFFDC1,0x016028,func_00016028,17,26,2,0,1,1,,,
0xDCFC7586,0x025394,func_00025394,42,26,2,0,1,0,,,
0x0939B6BE,0x0265DC,func_000265DC,56,26,5,0,1,0,,,
0xC3542E68,0x05475C,func_0005475C,38,26,1,0,1,0,,,
0x3A7E4F65,0x055E74,func_00055E74,17,26,3,0,1,1,,,
0x3E24ACE1,0x027354,func_00027354,27,25,0,0,1,0,,,
0xBB22B13B,0x0296FC,func_000296FC,114,25,2,0,1,0,,Kernel_Library;sceGe_user,
0xBE3756D0,0x03C210,func_0003C210,16,25,1,0,0,0,,ThreadManForUser;sceAtrac3plus;sceSasCore,
0x960D020F,0x054664,func_00054664,62,25,2,0,0,0,,,
0xD934BB27,0x05D580,func_0005D580,49,25,0,0,1,0,,,
0xA677A57C,0x05D914,func_0005D914,53,25,1,0,1,0,,,
0xE47E40E4,0x06E464,sceGe_user_E47E40E4,0,25,0,0,0,1,,sceGe_user,sceGe_user
0x3EB35691,0x00CC3C,func_0000CC3C,58,24,2,0,1,1,,,
0x29D1B9D5,0x0158DC,func_000158DC,13,24,1,0,1,1,,,
0x6786E0EF,0x0161E8,func_000161E8,13,24,3,0,1,1,,,
0xC2E59A21,0x018A04,func_00018A04,59,24,3,0,1,0,,,
0x8CA1052F,0x021CBC,func_00021CBC,37,24,0,0,0,1,,,
0x9F25AE2F,0x029480,func_00029480,159,24,2,0,1,0,,,
0x14BFFB01,0x03D2C4,func_0003D2C4,190,24,2,0,1,0,,sceLibFont,
0x82249188,0x04B6B4,func_0004B6B4,12,24,1,0,0,0,,,
0x914562B0,0x05EC10,func_0005EC10,4,24,1,0,0,0,,,
0xF17C5C28,0x0270F4,func_000270F4,20,23,3,0,1,0,,,
0xFCB00A02,0x02CE10,func_0002CE10,2,23,1,0,0,0,,,
0x40D6B29D,0x02EA9C,func_0002EA9C,65,23,6,0,1,0,,,
0xAB18E04A,0x04C9AC,func_0004C9AC,10,23,8,0,0,1,,,
0x1CBB2C1C,0x05353C,func_0005353C,19,23,2,0,1,0,,,
0xC1E38FF7,0x05365C,func_0005365C,45,23,3,0,1,0,,,
0x4D9EA10E,0x05EE5C,func_0005EE5C,4,23,1,0,0,0,,,
0xB693AF8E,0x017D20,func_00017D20,25,22,2,0,1,1,,,
0x4E8B47D4,0x024558,func_00024558,18,22,0,0,1,1,,,
0xD8A0DB10,0x02F928,func_0002F928,7,22,0,0,1,1,,,
0x7B8EF3EC,0x044914,func_00044914,46,22,2,0,0,0,,,
0xD9E13A6A,0x052F80,func_00052F80,27,22,2,0,0,0,,,
0xA4B2A31B,0x053D50,func_00053D50,10,22,0,0,1,0,,,
0x8CFD5EC1,0x054F84,func_00054F84,48,22,1,0,0,0,,,
0xEA748E31,0x06E15C,sceKernelChangeCurrentThreadAttr,0,22,0,0,0,1,sceKernelChangeCurrentThreadAttr,ThreadManForUser,ThreadManForUser:sceKernelChangeCurrentThreadAttr()
0xC8DF61CD,0x027708,func_00027708,22,21,4,0,1,0,,,
0x5DBE93DB,0x0361B8,func_000361B8,7,21,1,0,0,1,,,
0x06A1D1D8,0x03C384,func_0003C384,2,21,0,0,0,0,,,
0xB2389187,0x050B1C,func_00050B1C,32,21,2,0,1,0,,,
0xB2584E43,0x053DC0,func_00053DC0,21,21,1,0,1,0,,,
0x735EA15C,0x05EEAC,func_0005EEAC,4,21,1,0,0,0,,,
0xB8A55300,0x0063F0,func_000063F0,3,20,1,0,0,0,,,
0x81D0D1F7,0x009A98,func_00009A98,37,20,3,0,1,1,,,
0x767DE7AB,0x01504C,func_0001504C,16,20,2,0,1,1,,,
0x8F7249A7,0x02F4FC,func_0002F4FC,3,20,1,0,0,1,,,
0x2717C28C,0x0361A8,func_000361A8,4,20,1,0,1,1,,,
0x101103B3,0x0361D4,func_000361D4,18,20,1,0,1,1,,,
0x94A4EC34,0x03C0C4,func_0003C0C4,11,20,1,0,1,0,,,
0x5F00A362,0x042B88,func_00042B88,97,20,2,0,1,0,,sceLibFont,
0xA43AE5C3,0x04B884,func_0004B884,9,20,0,0,0,0,,,
0x97F24E9A,0x052630,func_00052630,145,20,2,0,0,0,,,
0xC4FA973E,0x052CF8,func_00052CF8,45,20,2,0,0,0,,,
0x481242AF,0x0551CC,func_000551CC,43,20,3,0,0,0,,,
0x8CBC1795,0x059A7C,func_00059A7C,53,20,1,0,1,0,,Kernel_Library;SysMemUserForUser,
0x0A67ED6C,0x05D784,func_0005D784,9,20,0,0,1,0,,,
0xB92CF901,0x05D7A8,func_0005D7A8,9,20,0,0,1,0,,,
0xF05B1732,0x05EDA8,func_0005EDA8,17,20,1,0,1,0,,,
0x8B0A8B96,0x016278,func_00016278,23,19,2,0,1,1,,,
