lib,nid,owner,export_vaddr,call_sites,name
libduel_eng_rel,0xDEE38DE3,rel_duel_eng,0x002F5428,0,
libduel_eng_rel,0xDF6E5D50,rel_duel_eng,0x00004698,1,
libduel_eng_rel,0xE0B32864,rel_duel_eng,0x002F60C4,4,
libduel_eng_rel,0xE0DC4AC0,rel_duel_eng,0x002F27C4,0,
libduel_eng_rel,0xE1FA8539,rel_duel_eng,0x000005F4,6,
libduel_eng_rel,0xE70954D9,rel_duel_eng,0x002F0168,6,
libduel_eng_rel,0xE7F71138,rel_duel_eng,0x000005E8,2,
libduel_eng_rel,0xE855EFD4,rel_duel_eng,0x002F5D5C,1,
libduel_eng_rel,0xE8754761,rel_duel_eng,0x00000210,1,
libduel_eng_rel,0xEC124BAC,rel_duel_eng,0x002F6114,0,
libduel_eng_rel,0xED3B1B4B,rel_duel_eng,0x002F2324,1,
libduel_eng_rel,0xEDA22CAB,rel_duel_eng,0x002F534C,2,
libduel_eng_rel,0xEDED5379,rel_duel_eng,0x002F2BCC,1,
libduel_eng_rel,0xEE219051,rel_duel_eng,0x002F6020,1,
libduel_eng_rel,0xEEEFBBC2,rel_duel_eng,0x002F6348,0,
libduel_eng_rel,0xEEFFFE1B,rel_duel_eng,0x002F458C,27,
libduel_eng_rel,0xF0A5D634,rel_duel_eng,0x002F111C,1,
libduel_eng_rel,0xF12A76B5,rel_duel_eng,0x00000458,1,
libduel_eng_rel,0xF2783CB1,rel_duel_eng,0x002F46A8,2,
libduel_eng_rel,0xF3C9B57A,rel_duel_eng,0x002EF79C,0,
libduel_eng_rel,0xF40F4308,rel_duel_eng,0x000043D0,1,
libduel_eng_rel,0xF5B20DFE,rel_duel_eng,0x002EFBFC,0,
libduel_eng_rel,0xF6019876,rel_duel_eng,0x00000050,1,
libduel_eng_rel,0xF755A991,rel_duel_eng,0x002F4770,12,
libduel_eng_rel,0xFBF7F2BC,rel_duel_eng,0x002F5194,1,
libduel_eng_rel,0xFCA2A00A,rel_duel_eng,0x002F643C,6,
libduel_eng_rel,0xFF3E7298,rel_duel_eng,0x002F4744,4,
libduel_eng_rel,0xFF8E2530,rel_duel_eng,0x002F605C,0,
libduelrecord_rel,0x420F9405,rel_duelrecord,0x000000FC,3,
libduelrecord_rel,0x6ADB95DB,rel_duelrecord,0x00000008,3,
libduelrecord_rel,0x8D53DC42,rel_duelrecord,0x0000028C,2,
libfield_rel,0x088AF975,rel_field,0x00003478,4,
libfield_rel,0x257E4747,rel_field,0x00007A98,0,
libfield_rel,0x2BAA0215,rel_field,0x0000B148,4,
libfield_rel,0x4333146F,rel_field,0x00004D34,1,
libfield_rel,0x48BD5856,rel_field,0x0000CC70,2,
libfield_rel,0x51F87FA7,rel_field,0x0000C86C,0,
libfield_rel,0x536C7374,rel_field,0x00003400,6,
libfield_rel,0x586F7DE0,rel_field,0x0000A0B4,1,
libfield_rel,0x5BFCB78F,rel_field,0x0000B1F4,2,
libfield_rel,0x689DF8E4,rel_field,0x00003484,36,
libfield_rel,0x74B014A2,rel_field,0x00009F70,1,
libfield_rel,0x79E5F8B7,rel_field,0x0000A234,47,
libfield_rel,0x7D1D1D53,rel_field,0x0002D198,2,
libfield_rel,0x86220A06,rel_field,0x0000A1B4,48,
libfield_rel,0x874CBF2B,rel_field,0x00013F20,2,
libfield_rel,0x8E5B6AB1,rel_field,0x0000C1F0,1,
libfield_rel,0x8EB3F8CC,rel_field,0x0002D1A4,1,
libfield_rel,0x92DF5F0F,rel_field,0x0002D33C,1,
libfield_rel,0xA1319511,rel_field,0x00010E00,1,
libfield_rel,0xA6AD7137,rel_field,0x0000B10C,4,
libfield_rel,0xBA3B028E,rel_field,0x00007BA0,1,
libfield_rel,0xBF048660,rel_field,0x0002D07C,1,
libfield_rel,0xD6F4A678,rel_field,0x0000CB90,1,
libfield_rel,0xE92DC2F2,rel_field,0x00009DA0,1,
libfield_rel,0xEC347A02,rel_field,0x000033D4,1,
libfield_rel,0xF451166D,rel_field,0x00002C5C,1,
libfield_rel,0xF4ED1C32,rel_field,0x00013EEC,1,
libfield_rel,0xF560DE58,rel_field,0x00013EB8,1,
libfield_rel,0xFABFD3C6,rel_field,0x00009E78,1,
liblimitlist_rel,0x56E1CA7A,rel_limitlist,0x00000184,3,
liblimitlist_rel,0x780BA2AD,rel_limitlist,0x0000040C,2,
liblimitlist_rel,0xE69A45D2,rel_limitlist,0x00000008,3,
libpassword_rel,0x516C75F9,rel_password,0x00001688,2,
libpassword_rel,0x69B41C27,rel_password,0x00000000,1,
libpassword_rel,0x932AE9C8,rel_password,0x000015A4,2,
librecipe_viewer_rel,0x099048E2,rel_recipeviewer,0x00000488,4,
librecipe_viewer_rel,0x363D43C5,rel_recipeviewer,0x00003F00,3,
librecipe_viewer_rel,0x98E7E882,rel_recipeviewer,0x00000008,3,
libselect_card_rel,0x0787468B,rel_select_card,0x00001F54,1,
libselect_card_rel,0x4D3D501F,rel_select_card,0x0000FBA8,1,
libselect_card_rel,0x5B395307,rel_select_card,0x00001D5C,5,
libselect_card_rel,0xAE4AA6EC,rel_select_card,0x00012384,0,
libselect_card_rel,0xBF2B46D7,rel_select_card,0x00001B44,5,
libselect_card_rel,0xCFA64443,rel_select_card,0x000120D4,3,
libshop_rel,0x83FFB9FB,rel_shop,0x0000A054,1,
libshop_rel,0x9B8ED106,rel_shop,0x00009F88,1,
libshop_rel,0xB2DBE2BD,rel_shop,0x0000A05C,1,
libshop_rel,0xBC3BD8C0,rel_shop,0x0000F7F0,1,
libshop_rel,0xCAA9B5D8,rel_shop,0x0000A030,1,
libsoundtest_rel,0x04147118,rel_soundtest,0x00000234,1,
libsoundtest_rel,0x3DB6D895,rel_soundtest,0x00000008,1,
libsoundtest_rel,0xE55B5D5C,rel_soundtest,0x000000FC,1,
libstory_rel,0x083B7CAD,rel_story,0x00015804,0,
libstory_rel,0x354CD876,rel_story,0x0001580C,0,
libtutorial_rel,0x03787C68,rel_tutorial,0x00004764,1,
libtutorial_rel,0x212F04F0,rel_tutorial,0x00004680,0,
libtutorial_rel,0x268B762C,rel_tutorial,0x000037C4,1,
libtutorial_rel,0x377AFCAD,rel_tutorial,0x000038E0,1,
libtutorial_rel,0x3BADB924,rel_tutorial,0x00004714,1,
libtutorial_rel,0x4ACB6495,rel_tutorial,0x00004604,0,
libtutorial_rel,0x4D8B6479,rel_tutorial,0x00004398,0,
libtutorial_rel,0x5493F091,rel_tutorial,0x000046AC,1,
libtutorial_rel,0x6A6888A5,rel_tutorial,0x000039F0,1,
libtutorial_rel,0x72AEDB62,rel_tutorial,0x000045D0,0,
libtutorial_rel,0xCDB4377F,rel_tutorial,0x00003A30,0,
libtutorial_rel,0xDE7BF13B,rel_tutorial,0x00004430,0,
libtutorial_rel,0xF57728C7,rel_tutorial,0x00003E80,0,
libtutoriallist_rel,0x41015B0F,rel_tutoriallist,0x000026C0,3,
libtutoriallist_rel,0xC1B2B589,rel_tutoriallist,0x00000000,2,
libtutoriallist_rel,0xCF2830FF,rel_tutoriallist,0x000027E4,3,
libtutoriallist_rel,0xF498562A,rel_tutoriallist,0x00002950,2,
