name,call_sites,max_args,distribution
ehsys_82B715FD,16,2,1 args x11; 2 args x5
ehsys_06380DFA,16,3,1 args x8; 2 args x2; 3 args x1
ehsys_5DE4869F,16,6,6 args x16
ehsys_FD84C4D3,16,6,4 args x9; 3 args x4; 6 args x3
ehsys_B9064026,16,3,3 args x7; 2 args x7; 1 args x2
ehsys_E2A5CE8D,16,3,3 args x10; 1 args x1
ehsys_5471DB90,16,2,1 args x13; 2 args x1
ehsys_16D9A578,16,1,1 args x16
ehsys_E9F3212D,16,1,1 args x16
ehsys_6A96E306,16,2,1 args x15; 2 args x1
ehsys_D9951D8F,16,3,3 args x3; 1 args x1
ehsys_0D961646,16,7,2 args x5; 1 args x2; 7 args x1
ehsys_711AC797,16,3,3 args x3
duel_eng_3865EBDA,16,1,1 args x14
ehsys_CC222EE8,16,8,1 args x8; 2 args x5; 3 args x1
ehsys_327E7DA1,16,4,1 args x14; 4 args x1; 3 args x1
ehsys_90281239,16,2,2 args x14
ehsys_778817A2,16,1,1 args x1
ehsys_30CEF747,15,2,2 args x15
ehsys_1CC5878C,15,1,1 args x15
ehsys_BF4D5B0C,15,4,1 args x6; 2 args x2; 4 args x1
ehsys_7A41135B,15,3,1 args x14; 3 args x1
ehsys_F60A4259,15,2,2 args x15
ehsys_317716E5,15,1,1 args x5
ehsys_50266C2E,15,2,1 args x10; 2 args x3
ehsys_79487C92,15,3,1 args x7; 2 args x5; 3 args x2
ehsys_41CA0A1C,15,2,1 args x8; 2 args x4
ehsys_C07BB470,14,6,6 args x14
ehsys_D979E9BF,14,6,6 args x13; 3 args x1
ehsys_ED1410E0,14,2,2 args x10; 1 args x4
ehsys_C5D3B70C,14,8,3 args x12; 8 args x1; 1 args x1
ehsys_97BB99A5,14,4,4 args x14
ehsys_B4471B5E,14,3,3 args x14
ehsys_916286F3,14,2,1 args x9; 2 args x1
ehsys_0B962FD4,14,2,1 args x13; 2 args x1
ehsys_ED17CBAC,14,2,1 args x13; 2 args x1
ehsys_D97274B6,14,3,3 args x4; 2 args x3; 1 args x2
ehsys_F16047DB,14,3,3 args x14
ehsys_D1C6F209,14,3,3 args x4; 1 args x2
ehsys_0A0CC3A4,14,2,1 args x9; 2 args x3
ehsys_442C88C6,14,5,1 args x2; 2 args x1; 5 args x1
ehsys_4DB996F6,14,3,1 args x7; 2 args x4; 3 args x2
ehsys_3C9CB549,14,2,1 args x8; 2 args x6
ehsys_EA018EFE,14,1,1 args x12
ehsys_C5BDA06E,14,1,1 args x2
